model,split,rows,positives,prevalence,average_precision,roc_auc,log_loss,configuration_id,fold,train_weeks,validation_week,fit_seconds,predict_seconds,minimum_probability,maximum_probability
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.1476058593017298,0.5685680851374326,0.3525308905448716,HistGradientBoosting_C03,2,"1, 2, 3, 4",5,0.5380183000088437,0.01894539999193512,0.008374765632036398,0.5735862807829296
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.14857356370762625,0.5768960154051251,0.34805126166604455,HistGradientBoosting_C03,3,"1, 2, 3, 4, 5",6,0.6479586999921594,0.01751430000877008,0.010443594058597253,0.5754964195136161
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.1394095901016586,0.55770986813595,0.38800821177720757,HistGradientBoosting_C04,1,"1, 2, 3",4,1.381752300003427,0.03468410001369193,0.002967981045651093,0.6033645932933891
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.14080421466832194,0.5678001116389029,0.3653163009142437,HistGradientBoosting_C04,2,"1, 2, 3, 4",5,1.4528289000008954,0.027277700006379746,0.003422401509629388,0.62694789009401
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.148551751682714,0.5724763559158463,0.3562112860240931,HistGradientBoosting_C04,3,"1, 2, 3, 4, 5",6,1.5761828000104288,0.026151500002015382,0.004747235212413614,0.7950394664984894
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.1366097973639091,0.5498484113718126,0.37529342288724626,HistGradientBoosting_C05,1,"1, 2, 3",4,1.1777714000054402,0.035391299999901094,0.005538495627582341,0.7081530294199937
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.14922970452570206,0.577606367065794,0.3537930168038101,HistGradientBoosting_C05,2,"1, 2, 3, 4",5,1.2631012000056216,0.03192150000541005,0.004362811216147059,0.6281741719904969
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.14803769820304546,0.5746640228383674,0.34961973938431684,HistGradientBoosting_C05,3,"1, 2, 3, 4, 5",6,1.383294900006149,0.02766890000202693,0.003998344174209222,0.6637599234484889
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.13882670760047922,0.5578177772274844,0.37285253446733496,HistGradientBoosting_C06,1,"1, 2, 3",4,1.1354717000067467,0.03829720000794623,0.006095678194244452,0.6642366217216548
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.14917313077356478,0.5817741282315084,0.35321057987317533,HistGradientBoosting_C06,2,"1, 2, 3, 4",5,1.2526643000019249,0.033537399998749606,0.004009852448299334,0.5826157757837532
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.15520095088591138,0.5823884677017546,0.3483157565687903,HistGradientBoosting_C06,3,"1, 2, 3, 4, 5",6,1.3270161999971606,0.03009790000214707,0.007448319651451426,0.5952368967604946
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.14757924201726574,0.5694109109418959,0.3642307055429742,HistGradientBoosting_C07,1,"1, 2, 3",4,0.7474290000100154,0.027362799999536946,0.015187121954440495,0.5919954334938846
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.1504377278764248,0.5795595918248218,0.3505288222847045,HistGradientBoosting_C07,2,"1, 2, 3, 4",5,0.8560358999966411,0.028088599996408448,0.009302300316955635,0.5498775226896586
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.15229788968108693,0.5814396744814461,0.34629690996536716,HistGradientBoosting_C07,3,"1, 2, 3, 4, 5",6,0.9214633999945363,0.02416879999509547,0.012379720211127146,0.4915976244874109
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.13434494067308836,0.5495276935141047,0.3835376978465654,HistGradientBoosting_C08,1,"1, 2, 3",4,2.5966174000059254,0.047841000006883405,0.005714738673803225,0.7024179515480801
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.1458270951469362,0.5684955745755167,0.3604808150147935,HistGradientBoosting_C08,2,"1, 2, 3, 4",5,2.5285795999952825,0.046900999994250014,0.0035428330035819316,0.5103110881667123
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.14315394886761812,0.5684410390379877,0.3538752715204713,HistGradientBoosting_C08,3,"1, 2, 3, 4, 5",6,2.5997265999903902,0.03839010000228882,0.008163108951178001,0.5370335271884417
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.14363855774117568,0.5636164936681869,0.36834121901202577,HistGradientBoosting_C09,1,"1, 2, 3",4,1.7530569000082323,0.046697999991010875,0.00846016004351348,0.7128390692872324
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.14712004311511673,0.5751866120876475,0.3521016416936055,HistGradientBoosting_C09,2,"1, 2, 3, 4",5,1.9699605999921914,0.046632199999294244,0.006098064048398566,0.5577815002433162
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.14941305719362058,0.5719203215685218,0.3488098768770395,HistGradientBoosting_C09,3,"1, 2, 3, 4, 5",6,2.3284739999944577,0.041638199996668845,0.007609171345594472,0.5578706264050783
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.13933466942906583,0.5571286207584418,0.3696191719904927,HistGradientBoosting_C10,1,"1, 2, 3",4,2.051275899997563,0.058601699987775646,0.0058014653174094915,0.6726684303695124
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.14936273835017339,0.5859049500543602,0.3514083853353624,HistGradientBoosting_C10,2,"1, 2, 3, 4",5,2.5874812999973074,0.04913400000077672,0.008180494951459187,0.5082116844738089
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.15838606742033745,0.5878842865030097,0.3459512305461281,HistGradientBoosting_C10,3,"1, 2, 3, 4, 5",6,6.2441019999969285,0.03975870000431314,0.01059938817573129,0.55487781602465
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.1426325183055071,0.5655631564827999,0.36366794293572796,HistGradientBoosting_C11,1,"1, 2, 3",4,1.1678592999960529,0.045547500005341135,0.02021091953911698,0.5860042475261112
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.14871132514867363,0.5788664090945574,0.35051354023389686,HistGradientBoosting_C11,2,"1, 2, 3, 4",5,3.8495397999940906,0.03497760000755079,0.010559212993428418,0.5287195138836082
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.15699968089967256,0.587090913579582,0.344866774291314,HistGradientBoosting_C11,3,"1, 2, 3, 4, 5",6,1.4584785999904852,0.03260190000582952,0.01472219139526816,0.572559840120695
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.13378707167535042,0.5487181603692468,0.3790686506615274,HistGradientBoosting_C12,1,"1, 2, 3",4,5.049719600006938,0.34905770000477787,0.009287523322951807,0.6080608244583773
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.15021372174656514,0.5795614159899014,0.3560439960673244,HistGradientBoosting_C12,2,"1, 2, 3, 4",5,6.410884800003259,0.07735599999432452,0.00617435601471663,0.5243333412813267
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.1506512132543701,0.5742263772370424,0.3509954085708089,HistGradientBoosting_C12,3,"1, 2, 3, 4, 5",6,3.7868983000080334,0.06781959999352694,0.008264692773926975,0.6158229993707106
LogisticRegression_unweighted,temporal_validation_week_4,4733,557,0.11768434396788506,0.15375980027484148,0.5830534575620627,0.3590032191468919,stage6_selected_pipeline,1,"1, 2, 3",4,0.19407850000425242,0.010307999997166917,0.025092789502393242,0.5038343733101761
LogisticRegression_unweighted,temporal_validation_week_5,4681,528,0.11279641102328562,0.15764890702813708,0.5949172376303365,0.3475641630971085,stage6_selected_pipeline,2,"1, 2, 3, 4",5,0.20787689999269787,0.009655000001657754,0.02424309663448164,0.5147506760023165
LogisticRegression_unweighted,temporal_validation_week_6,4241,473,0.11153029945767508,0.1535779141568819,0.5868614301809384,0.34554481234464157,stage6_selected_pipeline,3,"1, 2, 3, 4, 5",6,0.2701207000063732,0.00927629999932833,0.02645167440726418,0.46753464639013037
